Q100	city in and state capital of Massachusetts, United States
Q1147392	tributary of Green Bay in eastern Wisconsin, United States
Q1147435	island in the Firth of Clyde in Scotland
Q1147721	American abstract painter (1903-1981)
Q1147814	mountain and highest point of Samoa
Q1148036	1946 film by Robert Zigler Leonard
Q1148079	1990 film by John Schlesinger
Q114819	1984 American epic science fiction film by David Lynch
Q1148233	former baseball team in Montreal, Canada, predecessor of the current Washington Nationals
Q114843	county in New York, United States
Q1148499	2005 film by Rob Cohen
Q1148514	primary and only commercial aviation airport serving Brunei
Q114862	county in New York, United States
Q1148649	1921 film by Charlie Chaplin
Q1148711	specialty film division of Paramount Pictures
Q1148822	actor
Q114884	county in New York, United States
Q114904	county in New York, United States
Q11492	city in Catalonia, Spain
Q114923	county in New York, United States
Q11494	Italian comune
Q114948	county in New York, United States
Q1149583	commune in Aude, France
Q1149794	Canadian ice hockey player
Q11498	Italian comune
Q114981	German mathematician
Q114992	county in New York, United States
Q115	country in East Africa
Q1150105	public university in Knoxville, Tennessee, United States
Q115014	county in New York, United States
Q1150161	railway line in Chiba prefecture, Japan
Q11502	Italian comune
Q115025	county in New York, United States
Q1150306	award given by the Walt Disney Company
Q1150317	Latvian basketball player
Q1150392	basketball player
Q115043	county in New York, United States
Q1150569	American actor
Q1150581	1938 film by Otto Brower, David Butler
Q1150596	1990 film by William Peter Blatty
Q115061	county in New York, United States of America
Q1150612	1940 film by William Wyler
Q11506212	1937 film by Norman Taurog
Q1150623	1936 American drama film directed by Howard Hawks and William Wyler
Q1150671	French-Vietnamese chess player
Q1150713	1999 US crime-drama film directed by Spike Lee
Q1150758	1940 film by Preston Sturges
Q115081	county in New York, United States
Q11508524	national expressway in Japan
Q1150978	railway station in Nara, Nara prefecture, Japan
Q11510316	1937 film by George Marshall
Q115104	county in New York, United States
Q1151091	Spanish cyclist
Q1151111	American filmmaker
Q1151119	railway line in Hokkaido, Japan
Q115134	American actress
Q1151401	1923 film by Charlie Chaplin
Q115148	county in New York, United States
Q1151659	railway line in Japan
Q115166	county in New York, United States
Q1151763	American poet
Q1151791	railway line in Hokkaido, Japan
Q115182	county in New York, United States
Q1151947	2004 film by Wes Anderson
Q1151965	Belarusian basketball player
Q1152	former administrative region of France
Q115200	county in New York, United States
Q1152129	Olympic basketball player
Q115216	county in New York, United States
Q1152178	cruise ship
Q115227	county in New York, United States
Q1152351	2011 miniseries directed by Todd Haynes
Q115247	county in New York, United States
Q115258	county in New York, United States
Q115266	county in New York, United States
Q115272	county in Georgia, United States
Q1152751	association football match
Q115281	county in Iowa, United States
Q1152815	American actor
Q1152833	1916 film by Charlie Chaplin
Q115289	county in New York, United States
Q1152955	American company
Q115307	county in Georgia, United States
Q1153157	commune in Haute-Garonne, France
Q115324	county in Illinois, United States
Q1153344	former commune in Aveyron, France
Q115337	county in Illinois, United States
Q115356	county in Mississippi, United States
Q115376	public university in Morgantown, West Virginia, United States
Q115386	county in Iowa, United States
Q115395	German politician (1915-1994)
Q1153982	one of the 18 wards of the City of Yokohama
Q115404	county in Iowa, United States
Q1154081	Italian footballer (1949-2008)
Q115413	county in Wyoming, United States
Q115419	county in Mississippi, United States
Q115453	Croatian association football player
Q1154538	railway line in Japan
Q1154800	railway line in Japan
Q1155	Italian comune
Q1155055	local administrative unit (opština) in North Macedonia
Q1155161	American basketball player-coach
Q1155215	town in Kanzaki district, Hyōgo Prefecture, Japan
Q115541	American actress
Q1155510	Participating Nations
Q115556	county in Colorado, United States
Q115568	county in Colorado, United States
Q11557367	Japanese association football player
Q115583	county in Colorado, United States
Q1155845	commune in Vienne, France
Q115589	county in Colorado, United States
Q1156	capital city and district in Maharashtra, India
Q1156165	town in Ōchi district, Shimane prefecture, Japan
Q1156289	football tournament season
Q1156317	soccer team in the United States
Q1156334	American mass media division and company owned by Viacom
Q115641	Swiss botanist (1829-1919)
Q1156472	American archer
Q1156499	town in Tosa district, Kōchi Prefecture, Japan
Q1156642	television production and distribution arm of Warner Bros. Entertainment
Q1157044	Railway line in Kyoto prefecture, Japan
Q11571	Portuguese association football player
Q1157114	1943 film by Otto Preminger
Q11572	animated television series
Q11576	Spanish footballer
Q115760	2004 film directed by Pitof
Q1157695	1947 film by Otto Preminger
Q1157705	commune in Lot, France
Q1157743	American actor
Q11578	US tennis player
Q1157807	Dutch art history book by Karel van Mander
Q115783	Swiss-American structural engineer (1879-1965)
Q1157843	Canadian ice hockey player
Q1157848	Canadian ice hockey player
Q1157865	American actor (1923-2013)
Q1157996	Canadian ice hockey player
Q1158148	Latvian basketball player
Q1158191	1954 film by Richard Brooks
Q11584	Spanish association football player
Q11585	city in Tulcea County, Romania
Q1158528	1978 film by Don Taylor
Q1158567	Argentine association football player
Q1158713	1931 film by James W. Horne
Q1158722	Italian painter (1560-1634)
Q1158727	actor, Film director
Q1158731	Italian footballer (1951-2001)
Q1158898	1964 film by Norman Tokar
Q1159	state in India
Q1159007	ice hockey player
Q1159017	American ice hockey player
Q1159045	actor, singer and dancer
Q1159055	actor (1907-1968)
Q1159068	Swiss-American ice hockey player
Q1159087	American speed skater
Q1159102	American ice hockey player
Q1159104	actor, Ex-United States Marine
Q1159119	Canadian ice hockey player
Q1159141	Romanian footballer
Q11592	town in Sonoma County, California, United States
Q11593	2010 action-adventure film by M. Night Shyamalan
Q11598	American television sitcom created by Mitchell Hurwitz for the Fox Broadcasting Company and Netflix
Q1160005	1996 film by Mike Nichols
Q1160023	commune in Ille-et-Vilaine, France
Q1160186	1992 film by Robert Zemeckis
Q1160302	Russian professional ice hockey club based in Moscow
Q1160350	Canadian ice hockey player
Q1160373	Canadian ice hockey player
Q11604113	expressway in Okayama and Tottori prefecture, Japan
Q1160441	river in France
Q11607290	English football season
Q1160813	1999 film by Garry Marshall
Q1160868	American production company
Q11612443	1938 film by Alfred L. Werker
Q11613730	national expressway in Japan
Q1161583	sports season
Q1161624	1985 film by Stan Dragoti
Q1161636	1938 film by Edward Ludwig
Q1161655	American film editor
Q1161662	commune in Jura, France
Q1161677	Canadian ice hockey player
Q1161760	road in Sweden
Q1161843	1961 film by Jack Arnold
Q1162	State in North East India
Q1162072	1963 film by Melville Shavelson
Q11621	1982 American science fiction film directed by Steven Spielberg
Q1162105	American miniseries about the CIA's activity during the COld War
Q116219	American actress and comedian
Q11622	American space western television series
Q116240	Swiss printmaker (1539-1591)
Q1162433	1938 film by Richard Wallace
Q1162490	1936 film by Lloyd Bacon
Q1162881	American screenwriter
Q1162918	American astronaut
Q1162937	1938 film by Robert Zigler Leonard, W. S. Van Dyke
Q1163081	1995 film by Joseph Ruben
Q1163293	American actor
Q1163440	1972 film by Richard Fleischer
Q116349	1935 film by George Cukor, Edward H. Griffith
Q1163555	1937 film by Mitchell Leisen
Q11637	American actress, singer and vaudevillian (1922-1969)
Q116370	Italian comune
Q1163712	1952 film by Andrew Marton
Q116377	Italian comune
Q11638656	national expressway in Osaka Prefecture, Japan
Q116390	Italian comune
Q1163958	ice hockey player
Q1163968	former commune in Maine-et-Loire, France
Q116399	Italian comune
Q1164	Indian state
Q116404	Italian comune
Q1164053	Brazilian footballer and manager (1920-1996)
Q116415	Italian comune
Q116423	Italian comune
Q116424	Swiss politician
Q116431	Italian comune
Q1164367	1970 film by Joseph L. Mankiewicz, Sidney Lumet
Q116440	Italian comune
Q11644533	1941 film by W. S. Van Dyke
Q1164475	award
Q1164635	New Zealand association footballer
Q1164672	Canadian ice hockey player
Q1164725	Guatemalan footballer (1976-2004)
Q1164748	American animated television series
Q1164753	2011 film by Greg Mottola
Q1164779	2009 comedy movie on paranormal powers in the army directed by Grant Heslov
Q1164789	1934 film by John Cromwell
Q1164826	Dutch cyclist
Q1164834	Canadian ice hockey player
Q1165	Indian state
Q1165050	2007 film by Robert Rodriguez
Q1165062	American ice hockey player
Q1165208	2010 film by Robert Luketic
Q1165259	2008 American stoner comedy film
Q116531	Italian comune
Q116537	Italian comune
Q116544	Canadian ice hockey player
Q116545	Italian comune
Q116551	basketball player
Q1165516	2009 film by Tony Gilroy
Q116552	Italian comune
Q116559	Italian comune
Q116562	Swiss manager
Q1165633	2005 film by Frederik Du Chau
Q116564	Italian comune
Q1165682	road in Europe
Q116573	Italian comune
Q1165737	Canadian ice hockey player
Q116584	Italian comune
Q116592	Italian comune
Q1165956	human spaceflight
Q116602	Colombian association football player
Q1166027	Polish cyclist
Q116604	Italian comune
Q1166150	2002 film by Ron Shelton
Q1166180	1977 drama film directed by Fred Zinnemann
Q1166194	1977 film by John Boorman, Rospo Pallenberg
Q11662	German tennis player
Q11662316	road in Aomori Prefecture, Japan
Q1166264	1990 American superhero film by Sam Raimi
Q116650	Argentine footballer
Q116651	Italian comune
Q11666	Russian tennis player
Q116660	Italian comune
Q1166678	Canadian ice hockey defenceman
Q11667	Russian female tennis player
Q1166725	Canadian ice hockey player
Q116685	lake in Ethiopia
Q116698	Italian comune
Q1167015	American cinematographer
Q116706	Italian comune
Q1167123	2007 film by David Wain
Q116716	Italian comune
Q1167169	1969 film directed by Elia Kazan
Q116724	Italian comune
Q116725	airport
Q116726	basketball team
Q1167299	1945 film by Albert Lewin
Q116731	Italian comune
Q116742	Italian comune
Q116746	Italian comune
Q1167550	1938 film by Anatole Litvak
Q1167551	1947 film by Norman Z. McLeod
Q1167568	actor, film director (1902-1978)
Q116758	Italian comune
Q11677	US female tennis player
Q1167731	1939 film by A. Edward Sutherland
Q1167736	1960 film by Vincente Minnelli
Q1167792	1965 film by Jerry Lewis
Q1167795	American basketball player
Q1167859	1944 film by Mitchell Leisen
Q1167950	former ice hockey player and coach
Q1168	Indian state
Q11680	US tennis player
Q116812	Catalan Spanish politician
Q1168139	1933 film by Michael Curtiz
Q116816	Slovak footballer (1936-2007)
Q116819	Italian comune
Q11682	Belgian  tennis player
Q1168233	1940 American film William Wyler
Q116828	Italian comune
Q1168292	1991 film by Norman Jewison
Q116836	Italian comune
Q1168399	1996 film by Renny Harlin
Q116840	Italian comune
Q116844	Italian comune
Q116845	2012 film by David O. Russell
Q11685	Belgian tennis player
Q116852	1989 film directed by Tim Burton
Q116854	New Zealand screenwriter
Q116859	Italian comune
Q116861	New Zealand screenwriter, film producer and lyricist
Q1168742	American ice hockey player
Q116884	Italian comune
Q1168840	1940 film by Tay Garnett, Phil Karlson
Q11689225	Danish chess player
Q1168929	American basketball player
Q11689876	Spanish politician and diplomat
Q1169	one of the Great Lakes of North America
Q116902	Italian comune
Q1169028	1953 film by Robert D. Webb
Q116905	2004 adventure film directed by Brad Silberling
Q1169075	company
Q1169098	1973 film by Sam Peckinpah
Q116928	2009 American romantic fantasy film
Q1169334	sports season
Q116937	Italian comune
Q116943	Italian comune
Q116948	Italian comune
Q1169497	1944 film by Vincent Sherman
Q116952	Italian comune
Q116956	Italian comune
Q1169589	1995 film by Gary Fleder
Q1169609	1993 American comedy-drama film by Fred Schepisi
Q116961	Italian comune
Q116962	Swiss astronaut
Q116964	Italian comune
Q1169663	1944 film by Lewis R. Foster, Frank Ryan
Q116967	Italian comune
Q1169689	1941 film by Garson Kanin
Q1169701	1952 film by Fritz Lang
Q116976	Italian comune
Q1169765	1968 film by Eric Till
Q116980	Italian association football player and manager
Q11698889	Spanish politician
Q116989	Italian comune
Q1169905	1936 film by Hal Roach, Charley Rogers, James W. Horne
